V1,V2
Amorpha_californica_napensis_81,Amorpha_californica_napensis_81
Dalea_albiflora_228,Dalea_albiflora_228
Dalea_albiflora_84,Dalea_albiflora_84
Dalea_brandegeii_14,Dalea_brandegeii_14
Dalea_candida_95,Dalea_candida_95
Dalea_filicifmormis_NL_224,Dalea_filicifmormis_NL_224
Dalea_filiciformis_31,Dalea_filiciformis_31
Dalea_filiciformis_Puebla_173,Dalea_filiciformis_Puebla_173
Dalea_filiciformis_sanLuisPotosi_176,Dalea_filiciformis_sanLuisPotosi_176
Dalea_filiformis_208,Dalea_filiformis_208
Dalea_leporina_227,Dalea_leporina_227
Dalea_mollis_16,Dalea_mollis_16
Dalea_pogonanthera_226,Dalea_pogonanthera_226
Dalea_polygonoides_225,Dalea_polygonoides_225
Dalea_pulchra_134,Dalea_pulchra_134
Dalea_purpurea_94,Dalea_purpurea_94
Dalea_versicolor_96,Dalea_versicolor_96
Marina_aff_Capensis_50,Marina_aff_Capensis_50
Marina_aff_capensis_LaPaz_144,Marina_aff_capensis_LaPaz_144
Marina_aff_divaricata_CaboPulmo_161,Marina_aff_divaricata_CaboPulmo_161
Marina_aff_divaricata_SierradeLaLaguna_101,Marina_aff_divaricata_SierradeLaLaguna_101
Marina_aff_interstes_48,Marina_aff_interstes_48
Marina_aff_maritima_SierralasCacachilas_57,Marina_aff_maritima_SierralasCacachilas_57
Marina_alamosana_32,Marina_alamosana_32
Marina_brevis_33,Marina_brevis_33
Marina_calycosa_29,Marina_calycosa_29
Marina_calycosa_newMexico_200,Marina_calycosa_newMexico_200
Marina_calycosa_PatagoniaMtns_98,Marina_calycosa_PatagoniaMtns_98
Marina_calycosa_Sonora_201,Marina_calycosa_Sonora_201
Marina_capensis_SanPedrito_51,Marina_capensis_SanPedrito_51
Marina_capensis_SEW_10,Marina_capensis_SEW_10
Marina_capensis_SierralaLaguna_146,Marina_capensis_SierralaLaguna_146
Marina_catalinae_34,Marina_catalinae_34
Marina_chrysorrhiza_CaboPulmo_155,Marina_chrysorrhiza_CaboPulmo_155
Marina_chrysorrhiza_Migrino_193,Marina_chrysorrhiza_Migrino_193
Marina_chrysorrhiza_SierradelNovillo_156,Marina_chrysorrhiza_SierradelNovillo_156
Marina_crenulata_132,Marina_crenulata_132
Marina_crenulata_durango_219,Marina_crenulata_durango_219
Marina_crenulata_durango_220,Marina_crenulata_durango_220
Marina_crenulata_oaxaca_211,Marina_crenulata_oaxaca_211
Marina_crenulata_oaxaca_218,Marina_crenulata_oaxaca_218
Marina_crenulata_Sinaloa_210,Marina_crenulata_Sinaloa_210
Marina_crenulata_stipulacea_Oaxaca_190,Marina_crenulata_stipulacea_Oaxaca_190
Marina_diffusa_diffusa_174,Marina_diffusa_diffusa_174
Marina_diffusa_diffusa_Colima_177,Marina_diffusa_diffusa_Colima_177
Marina_diffusa_diffusa_PatagoniaMtns_27,Marina_diffusa_diffusa_PatagoniaMtns_27
Marina_diffusa_diffusa_SonoraMontezcuma_133,Marina_diffusa_diffusa_SonoraMontezcuma_133
Marina_diffusa_radiolata_Nayarit_169,Marina_diffusa_radiolata_Nayarit_169
Marina_diffusa_Yecora_187,Marina_diffusa_Yecora_187
Marina_dispansa_142,Marina_dispansa_142
Marina_divaricata_anthonyi_154,Marina_divaricata_anthonyi_154
Marina_divaricata_cabo_151,Marina_divaricata_cabo_151
Marina_divaricata_CapeMtns_182,Marina_divaricata_CapeMtns_182
Marina_divaricata_elConejo_147,Marina_divaricata_elConejo_147
Marina_divaricata_MagIsland_152,Marina_divaricata_MagIsland_152
Marina_divaricata_sanBartolo_192,Marina_divaricata_sanBartolo_192
Marina_divaricata_SierradelNovillo_86,Marina_divaricata_SierradelNovillo_86
Marina_divaricata_SierraLaLaguna_36,Marina_divaricata_SierraLaLaguna_36
Marina_divaricata_typelocality_162,Marina_divaricata_typelocality_162
Marina_evanescens_BahiadeLosAngeles_38,Marina_evanescens_BahiadeLosAngeles_38
Marina_evanescens_Guaymas_157,Marina_evanescens_Guaymas_157
Marina_evanescens_LaPaz_185,Marina_evanescens_LaPaz_185
Marina_evanescens_MagBay_180,Marina_evanescens_MagBay_180
Marina_evanescens_SanBarteo_188,Marina_evanescens_SanBarteo_188
Marina_evanescens_SierradeLaGiganta47,Marina_evanescens_SierradeLaGiganta47
Marina_ghiesbreghtii_109,Marina_ghiesbreghtii_109
Marina_ghiesbreghtii_216,Marina_ghiesbreghtii_216
Marina_goldmanii_28,Marina_goldmanii_28
Marina_goldmanii_chihuahua_205,Marina_goldmanii_chihuahua_205
Marina_gracilis_108,Marina_gracilis_108
Marina_gracillima_GDL_175,Marina_gracillima_GDL_175
Marina_gracillima_nayarit_222,Marina_gracillima_nayarit_222
Marina_gracillima_nayarit_234,Marina_gracillima_nayarit_234
Marina_grammadenia_112,Marina_grammadenia_112
Marina_grammadenia_Michoacan_215,Marina_grammadenia_Michoacan_215
Marina_grammadenia_talpadeallende_221,Marina_grammadenia_talpadeallende_221
Marina_greenmaniana_141,Marina_greenmaniana_141
Marina_greenmaniana_oaxaca_230,Marina_greenmaniana_oaxaca_230
Marina_holwayi_Guerrero_Lavin_214,Marina_holwayi_Guerrero_Lavin_214
Marina_holwayi_Guerrero_Ripley_164,Marina_holwayi_Guerrero_Ripley_164
Marina_holwayi_Oaxaca_178,Marina_holwayi_Oaxaca_178
Marina_holwayi_Puebla_198,Marina_holwayi_Puebla_198
Marina_interstes_39,Marina_interstes_39
Marina_interstes_LosCabos_184,Marina_interstes_LosCabos_184
Marina_maritima_9palms_13,Marina_maritima_9palms_13
